"full_name",equinox,q,e,i,w,om,tp,epoch,M1,K1,diameter,GM,rot_per,albedo,BV,spec_T
"   36P/Whipple",J2000,3.089225923587557,.2582250337412331,9.935343393601725,201.9559736717388,182.3912261042491,2455927.981007798779,2454690.5,10.5,13.25,4.56,,,,,
"   37P/Forbes",J2000,1.608855680101205,.5344761599834154,8.962054270441827,330.0004370065654,314.6395769323095,2458242.647349521037,2457840.5,11.5,16.25,1.92,,,,,
"   38P/Stephan-Oterma",J2000,1.588505048173736,.859286285876197,18.3529465228447,359.5886765534911,78.00036419278668,2458433.487343535866,2458262.5,11.5,9.5,,,,,,
"   39P/Oterma",J2000,5.712314418622992,.2284123245383775,1.478237003763243,89.7043305431787,303.6355887080981,2460043.783929925819,2456994.5,6.8,14.75,,,,,,
"   40P/Vaisala 1",J2000,1.819771156172117,.6316152020645802,11.49264281940788,47.28885502172881,133.8401678570807,2456977.342350093810,2457262.5,11.7,13.,4.2,,,,,
"   41P/Tuttle-Giacobini-Kresak",J2000,1.045042756187832,.6612733030060237,9.228465743613803,62.16674348896015,141.0589723608447,2457856.252992236530,2457857.5,16.9,4.5,1.4,,,,,
"   42P/Neujmin 3",J2000,2.027755196838527,.5841747519155726,3.984591946246174,147.120393793131,150.279966816504,2457120.709553900616,2457380.5,13.2,15.,2.2,,,,,
"   43P/Wolf-Harrington",J2000,1.357190651272255,.5948802317880014,15.97136347632586,191.5632100505582,249.8643018628762,2457619.972935761646,2456835.5,9.5,14.5,3.6,,,,,
"   44P/Reinmuth 2",J2000,2.113835286715934,.4269826202490065,5.898445395807127,58.12369475098319,286.4811934020849,2459693.196122978407,2458936.5,13.9,5.75,3.22,,,,,
"   45P/Honda-Mrkos-Pajdusakova",J2000,.532650151526285,.8239960779465374,4.248170541497252,326.3441984051743,88.93460245064746,2457753.784148116650,2457979.5,13.7,22.,1.6,,,,,
"   46P/Wirtanen",J2000,1.055355384620729,.6587550056013686,11.74754876741451,356.34107195,82.15763390116034,2458465.431169214402,2458465.5,16.6,4.75,1.2,,,,,
"   47P/Ashbrook-Jackson",J2000,2.802020364579447,.318835724884545,13.05253727504212,357.8423357451096,356.9846339717133,2454863.899506666826,2455666.5,12.0,7.,5.6,,15.6,,,
