Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Feature_Type_Code,Origin,
"Leucippus Q","Leucippus Q","Moon",89.45,25.7,240.62,SF,"Greek philosopher (unkn-fl. c. 440 B.C.).",
"Leucippus X","Leucippus X","Moon",35.33,33.18,240.74,SF,"Greek philosopher (unkn-fl. c. 440 B.C.).",
"Leucothea","Leucothea","Tethys",13.8,-4.26,236.16,AA,"Ino’s name after she became a goddess.  ",
"Leuk","Leuk","Mars",3.44,23.91,304.99,AA,"Town in Switzerland.",
"Leuschner","Leuschner","Moon",50.14,1.67,250.95,AA,"Armin Otto; American astronomer (1868-1953).",
"Leuschner L","Leuschner L","Moon",18.49,-1.19,250.82,SF,"Armin Otto; American astronomer (1868-1953).",
"Leuschner Z","Leuschner Z","Moon",17.45,5.24,250.44,SF,"Armin Otto; American astronomer (1868-1953).",
"Lev","Lev","Moon",0.06,12.71,62.21,AA,"Russian male name of Hebrew origin.",
"Le Verrier","Le Verrier","Mars",137.55,-37.71,17.1,AA,"Urbain J.; French astronomer (1811-1877).",
"Le Verrier","Le Verrier","Moon",20.52,40.33,339.39,AA,"Urbain-Jean-Joseph; French astronomer, mathematician (1811-1877).",
"Le Verrier A","Le Verrier A","Moon",4.11,38.17,342.68,SF,"Urbain-Jean-Joseph; French astronomer, mathematician (1811-1877).",
"Le Verrier B","Le Verrier B","Moon",4.84,40.19,347.12,SF,"Urbain-Jean-Joseph; French astronomer, mathematician (1811-1877).",
"Le Verrier D","Le Verrier D","Moon",8.74,39.74,347.65,SF,"Urbain-Jean-Joseph; French astronomer, mathematician (1811-1877).",
"Le Verrier E","Le Verrier E","Moon",6.5,42.42,342.99,SF,"Urbain-Jean-Joseph; French astronomer, mathematician (1811-1877).",
"Le Verrier S","Le Verrier S","Moon",2.32,38.96,339.33,SF,"Urbain-Jean-Joseph; French astronomer, mathematician (1811-1877).",
"Le Verrier T","Le Verrier T","Moon",3.47,39.87,339.26,SF,"Urbain-Jean-Joseph; French astronomer, mathematician (1811-1877).",
"Le Verrier U","Le Verrier U","Moon",3.23,37.26,346.82,SF,"Urbain-Jean-Joseph; French astronomer, mathematician (1811-1877).",
"Le Verrier V","Le Verrier V","Moon",3.23,37.83,345.71,SF,"Urbain-Jean-Joseph; French astronomer, mathematician (1811-1877).",
"Le Verrier W","Le Verrier W","Moon",3.25,39.39,346.02,SF,"Urbain-Jean-Joseph; French astronomer, mathematician (1811-1877).",
"Le Verrier X","Le Verrier X","Moon",2.71,41.6,347.84,SF,"Urbain-Jean-Joseph; French astronomer, mathematician (1811-1877).",
"Leviathan Patera","Leviathan Patera","Triton",0,17,28.5,PE,"Hebrew sea monster upholding earth.",
"Levi-Civita","Levi Civita","Moon",108.23,-23.34,143.14,AA,"Tullio; Italian mathematician, physicist (1873-1941).",
"Levi-Civita A","Levi Civita A","Moon",18.05,-20.48,143.91,SF,"Tullio; Italian mathematician, physicist (1873-1941).",
"Levi-Civita F","Levi Civita F","Moon",14.77,-23.42,145.4,SF,"Tullio; Italian mathematician, physicist (1873-1941).",
"Levi-Civita S","Levi Civita S","Moon",47.05,-24.2,138.71,SF,"Tullio; Italian mathematician, physicist (1873-1941).",
"Lewis","Lewis","Moon",40.32,-18.51,245.77,AA,"Gilbert Newton; American chemist (1875-1946).",
